Age,Salary,Purchased
53,318623,1
37,217464,1
18,743729,1
25,511736,1
33,807395,1
31,318267,1
29,651199,1
40,889900,1
32,224777,1
45,860909,1
51,801820,1
19,6569,0
49,595124,1
40,629861,1
39,430802,1
42,259090,1
39,668375,1
39,46002,0
59,772954,1
23,662614,1
32,935648,1
54,680574,1
50,499870,1
25,212791,0
22,203846,0
56,662450,1
21,667997,1
23,678775,1
49,25071,0
47,583531,1
52,913259,1
57,895647,1
33,173312,0
30,258218,1
59,215879,1
47,364714,1
36,427650,1
34,332868,1
36,902791,1
45,863129,1
43,554020,1
54,646753,1
43,929818,1
40,418170,1
26,58108,0
29,481721,1
18,112195,0
18,890513,1
51,37668,0
49,286205,1
42,342396,1
57,565037,1
18,131560,0
33,367824,1
56,148979,0
22,150849,0
39,749589,1
46,52745,0
20,371608,1
29,92865,0
43,899860,1
33,213890,1
54,24624,0
39,24321,0
46,404704,1
31,810006,1
45,923744,1
22,175293,0
47,928982,1
22,784415,1
29,187717,0
33,937766,1
43,381975,1
43,184868,1
38,660792,1
56,96257,0
53,589579,1
50,211176,1
47,191471,1
54,915032,1
40,473930,1
27,837860,1
22,744091,1
53,519862,1
51,918806,1
48,476774,1
27,918559,1
36,636605,1
49,140789,0
18,390593,1
22,816131,1
21,74686,0
33,68661,0
41,569535,1
33,246121,1
19,673108,1
45,368257,1
49,267765,1
44,147106,0
37,259930,1
41,923630,1
29,661482,1
52,805462,1
50,870270,1
50,872149,1
54,449874,1
29,563926,1
20,854499,1
18,119033,0
50,631265,1
57,614157,1
27,630474,1
46,822106,1
30,167926,0
29,571559,1
48,861120,1
19,432734,1
52,374220,1
40,666627,1
34,222897,1
43,2062,0
25,248736,1
46,575736,1
43,96462,0
27,400445,1
43,451009,1
51,771173,1
58,573203,1
24,267776,0
21,629880,1
28,659956,1
46,372923,1
53,400384,1
42,633387,1
38,532849,1
53,468010,1
27,607440,1
54,650324,1
26,387193,1
41,27734,0
52,924875,1
52,27069,0
53,736265,1
35,538198,1
56,336623,1
49,471951,1
41,82264,0
40,24275,0
49,597562,1
